1219.2,381,444.5
1219.2,381,444.5
1828.8,381,444.5
1828.8,381,444.5
1219.2,436.9,469.9
1828.8,368.3,457.2
1968.5,368.3,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1016,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1320.8,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
1625.6,406.4,457.2
