629.9,457.2,1816.1
629.9,457.2,1803.4
355.6,355.6,1409.7
457.2,228.6,1498.6
508,508,1574.8
304.8,304.8,1206.5
1143,457.2,1803.4
299.7,266.7,50.8
299.7,266.7,50.8
299.7,266.7,50.8
469.9,469.9,1689.1
457.2,1536.7,457.2
1524,482.6,2133.6
508,508,1612.9
228.6,241.3,1239.5
1143,457.2,1803.4
469.9,469.9,1028.7
457.2,457.2,1727.2
457.2,457.2,1727.2
457.2,457.2,1727.2
508,508,1549.4
508,508,1549.4
508,508,1549.4
508,508,1511.3
1524,482.6,1905
622.3,431.8,1300.5
502.9,228.6,1422.4
622.3,431.8,1300.5
502.9,228.6,1422.4
304.8,304.8,1206.5
393.7,393.7,1752.6
508,508,1524
508,508,1524
381,203.2,1524
960.1,203.2,1600.2
919.5,919.5,1770.4
294.6,254,1529.1
513.1,513.1,1511.3
530.9,429.3,1470.7
469.9,469.9,1028.7
520.7,520.7,1671.3
520.7,520.7,1671.3
330.2,228.6,1656.1
482.6,482.6,1562.1
482.6,482.6,1562.1
330.2,330.2,1600.2
533.4,533.4,1447.8
533.4,533.4,1346.2
533.4,533.4,1346.2
368.3,228.6,914.4
228.6,368.3,914.4
368.3,228.6,914.4
457.2,457.2,1536.7
457.2,457.2,1574.8
457.2,457.2,1574.8
457.2,457.2,1574.8
833.1,355.6,1452.9
406.4,406.4,1625.6
