444.5,177.8,609.6
444.5,177.8,609.6
342.9,139.7,528.3
381,381,749.3
381,381,749.3
381,381,749.3
406.4,406.4,614.7
355.6,355.6,609.6
177.8,177.8,330.2
381,381,698.5
292.1,292.1,609.6
457.2,457.2,711.2
330.2,203.2,457.2
431.8,431.8,685.8
203.2,203.2,342.9
355.6,355.6,673.1
254,254,596.9
457.2,457.2,685.8
292.1,292.1,604.5
182.9,182.9,767.1
393.7,393.7,673.1
355.6,355.6,609.6
431.8,431.8,698.5
304.8,241.3,584.2
304.8,241.3,584.2
304.8,241.3,584.2
304.8,241.3,584.2
304.8,241.3,584.2
304.8,241.3,584.2
609.6,254,63.5
609.6,254,63.5
609.6,254,63.5
127,152.4,424.2
127,152.4,424.2
127,152.4,424.2
355.6,355.6,673.1
228.6,228.6,482.6
254,254,495.3
254,254,495.3
274.3,274.3,444.5
274.3,274.3,444.5
279.4,279.4,589.3
406.4,228.6,787.4
165.1,406.4,782.3
406.4,406.4,706.1
266.7,266.7,444.5
508,508,863.6
393.7,393.7,736.6
381,381,698.5
177.8,177.8,335.3
254,254,596.9
203.2,203.2,558.8
401.3,401.3,584.2
406.4,406.4,660.4
406.4,406.4,660.4
406.4,406.4,660.4
393.7,393.7,723.9
254,292.1,508
254,292.1,508
208.3,208.3,335.3
203.2,203.2,406.4
431.8,431.8,685.8
254,254,431.8
254,254,431.8
444.5,444.5,749.3
381,381,431.8
457.2,457.2,723.9
508,508,723.9
604.5,190.5,492.8
381,165.1,546.1
177.8,571.5,563.9
139.7,203.2,609.6
190.5,190.5,241.3
147.3,147.3,266.7
266.7,266.7,558.8
266.7,266.7,508
317.5,152.4,363.2
406.4,203.2,508
558.8,254,520.7
330.2,330.2,622.3
350.5,350.5,457.2
243.8,203.2,640.1
406.4,406.4,812.8
406.4,406.4,614.7
233.7,177.8,386.1
431.8,431.8,731.5
431.8,431.8,731.5
495.3,495.3,711.2
157.5,132.1,330.2
330.2,228.6,698.5
711.2,228.6,406.4
149.9,134.6,246.4
457.2,457.2,711.2
330.2,203.2,457.2
203.2,101.6,355.6
203.2,101.6,355.6
203.2,101.6,355.6
165.1,165.1,716.3
381,381,558.8
406.4,406.4,698.5
444.5,444.5,736.6
342.9,342.9,457.2
444.5,444.5,533.4
342.9,342.9,584.2
444.5,444.5,647.7
406.4,203.2,533.4
381,381,749.3
381,381,749.3
381,381,749.3
393.7,393.7,660.4
