56,137,53
56,137,53
70,116,46
67,126,45
80,126,45
67,126,45
70,133,45
70,127,44
78,129,44
83,139,44
69.9,125,43.3
78,119,43
74,119,43
68,124,43
68,124,43
68,124,43
65,124,43
65,124,43
75,124,43
69,128,43
69,128,43
65,130,43
73,131,43
69,131,43
73,131,43
69,131,43
73,131,43
69,125,42
68,125,42
560,117.5,40
63,128,42
60,130,42
71,127.6,42
76.2,124.8,41.7
75,118,41
80,130,45
72,136,41
68.3,115,40.4
66.5,130.3,40.4
60.4,124.8,40.2
64,120,40
64,120,40
64,120,40
70,122,40
63.5,125,40
85,125,40
67,128,40
60.1,128,40
60.2,128,40
60.1,128,40
70.2,131,40
75,132,40
57.8,124.2,39.6
70,115,39
70,115,39
72,118,39
64,124,39
68,126,39
68,126,39
66,126,39
70.4,125.1,39
68.3,125.5,38.7
68.3,125.5,38.7
62.1,116.6,38.2
65.8,122.1,38.2
68,120.6,38.1
58,104,38
62,116,38
62,116,38
71,117,38
63.5,117,38
62,120,38
64,122,38
68,125,38
62,128,38
66.2,126.7,37.8
59,128,37.5
63,114.7,37.3
65,115,37
63,117,37
68,120,37
68,120,37
64,124,37
65,125,37
60,128,37
58,120,36
58,124,36
53,116,35.7
65,95,35
63,117,35
62.8,99,34.1
65,115,34
60,79,30
66.2,126.7,37.8
53.5,118.3,38.3
91,125,44
68,111,40
72,118,39
80,124,38
66,131,43
71,128,42
71,128,42
63.5,125,40
62,117,38
62,117,38
66,116,38
62,116,38
68,124,43
68,124,43
68,124,43
68,124,43
67,130,40
67,130,40
64,117,38
75,124,43
70,127,44
71,117,38
71,117,38
70,125,43
70,125,43
70,115,39
66,131,38
80,126,45
68,120,27
70,127,28
69,131,43
69,131,43
72,124,42
69,128,43
68,128,38
