388.6,101.6,289.6
538.5,218.4,500.4
497.8,210.8,383.5
541,185.4,406.4
540,175.3,420.1
497.8,210.8,383.5
497.8,210.8,383.5
538.5,218.4,500.4
541,185.4,406.4
466.1,182.1,344.9
612.1,233.7,558.8
613.2,44.4,364.5
538.5,218.4,500.4
621,50.3,366
612.1,188,464.8
612.1,233.7,558.8
609.9,184.9,524.3
612.1,179.1,530.9
569.5,200.9,409.7
540.5,204,403.6
538.5,218.4,500.4
561.3,213.4,360.7
1452.9,46.2,831.1
718.8,231.1,596.9
1202.9,383,525.3
1241,64.8,721.6
544.8,166.9,398
497.8,210.8,383.5
506,178.3,383.3
538.5,218.4,500.4
542,201.9,404.9
533.4,203.2,330.2
538.5,218.4,500.4
616.5,228.9,449.3
621,194.6,455.7
499.1,170.9,385.1
538.5,218.4,500.4
497.8,210.8,383.5
542,201.9,404.9
