762,25.4,1168.4
596.9,88.9,1308.1
1016,25.4,1143
787.4,114.3,952.5
863.6,114.3,952.5
914.4,609.6,25.4
914.4,863.6,25.4
762,762,25.4
1219.2,1219.2,25.4
406.4,1219.2,25.4
502.9,38.1,502.9
914.4,609.6,25.4
914.4,609.6,25.4
762,762,25.4
762,762,25.4
1219.2,1219.2,25.4
1219.2,1219.2,25.4
406.4,1219.2,25.4
406.4,1219.2,25.4
914.4,863.6,25.4
914.4,863.6,25.4
1270,63.5,614.7
762,38.1,38.1
1016,38.1,38.1
609.6,50.8,914.4
1066.8,38.1,812.8
508,221,1117.6
899.2,899.2,50.8
914.4,914.4,35.6
914.4,914.4,35.6
800.1,482.6,61
685.8,25.4,1193.8
762,457.2,83.8
914.4,20.3,914.4
899.2,50.8,701
599.4,20.3,899.2
599.4,20.3,899.2
609.6,38.1,914.4
787.4,33,736.6
1079.5,45.7,812.8
812.8,139.7,139.7
635,127,1798.3
863.6,355.6,165.1
919.5,76.2,919.5
518.2,50.8,1270
596.9,596.9,50.8
508,50.8,762
1079.5,45.7,812.8
970.3,30.5,762
762,76.2,762
914.4,50.8,914.4
762,101.6,883.9
495.3,101.6,1003.3
609.6,50.8,914.4
762,762,25.4
762,762,25.4
914.4,25.4,609.6
914.4,25.4,609.6
569,429.3,1841.5
508,38.1,508
599.4,139.7,800.1
914.4,101.6,101.6
660.4,38.1,558.8
762,76.2,762
609.6,30.5,914.4
762,25.4,762
1066.8,38.1,812.8
970.3,30.5,762
1143,50.8,1651
