294.6,127,10.2
442,127,10.2
279.4,129.5,10.2
431.8,132.1,10.2
287,134.6,10.2
330.2,139.7,10.2
342.9,139.7,10.2
368.3,139.7,10.2
381,139.7,10.2
360.7,147.3,10.2
248.9,149.9,10.2
335.3,175.3,10.2
256.5,182.9,10.2
248.9,190.5,10.2
297.2,213.4,10.2
287,127,12.7
345.4,134.6,12.7
259.1,137.2,12.7
307.3,147.3,12.7
238.8,167.6,12.7
287,172.7,12.7
243.8,188,12.7
246.4,190.5,12.7
248.9,195.6,12.7
287,236.2,12.7
469.9,241.3,12.7
259.1,127,15.2
436.9,129.5,15.2
365.8,132.1,15.2
368.3,132.1,15.2
279.4,134.6,15.2
281.9,134.6,15.2
442,142.2,15.2
406.4,152.4,15.2
439.4,152.4,15.2
449.6,160,15.2
241.3,172.7,15.2
284.5,177.8,15.2
248.9,182.9,15.2
243.8,190.5,15.2
373.4,127,17.8
287,129.5,17.8
289.6,129.5,17.8
348,129.5,17.8
373.4,129.5,17.8
393.7,129.5,17.8
439.4,129.5,17.8
284.5,132.1,17.8
287,132.1,17.8
353.1,132.1,17.8
444.5,134.6,17.8
373.4,139.7,17.8
434.3,139.7,17.8
444.5,139.7,17.8
439.4,147.3,17.8
436.9,154.9,17.8
228.6,160,17.8
337.8,160,17.8
251.5,180.3,17.8
388.6,185.4,17.8
266.7,188,17.8
322.6,241.3,17.8
330.2,127,20.3
457.2,127,20.3
381,129.5,20.3
429.3,129.5,20.3
279.4,132.1,20.3
442,132.1,20.3
289.6,137.2,20.3
294.6,137.2,20.3
436.9,137.2,20.3
444.5,137.2,20.3
457.2,137.2,20.3
368.3,139.7,20.3
388.6,139.7,20.3
429.3,139.7,20.3
444.5,139.7,20.3
309.9,144.8,20.3
312.4,144.8,20.3
444.5,144.8,20.3
396.2,160,20.3
408.9,160,20.3
256.5,162.6,20.3
449.6,165.1,20.3
403.9,170.2,20.3
228.6,177.8,20.3
259.1,180.3,20.3
449.6,180.3,20.3
442,182.9,20.3
447,182.9,20.3
269.2,185.4,20.3
259.1,195.6,20.3
439.4,198.1,20.3
431.8,203.2,20.3
327.7,228.6,20.3
304.8,241.3,20.3
304.8,127,22.9
353.1,127,22.9
386.1,129.5,22.9
297.2,132.1,22.9
317.5,132.1,22.9
442,132.1,22.9
444.5,134.6,22.9
