2337,1234,1454
2695,1663,1555
2695,1663,1553
3465,1615,1460
3466,1615,1460
3470,1620,1450
3475,1475,1608
3475,1475,1608
3495,1665,1554
3556,1645,1481
3571,1627,1488
3595,1595,1485
3597,1645,1481
3600,1645,1504
3615,1646,1541
3645,1645,1720
3653,1643,1551
3670,1680,1480
3675,1604,1476
3686,1672,1605
3698,1720,1484
3700,1660,1595
3809,1728,1653
3821,1727,1414
3821,1727,1415
3837,1676,1518
3840,1735,1495
3845,1665,1505
3894,1752,1512
3915,1735,1230
3941,1704,1524
3945,1695,1510
3955,1743,1551
3957,1716,1782
3982,1727,1425
3995,1743,1452
3996,1749,1474
3997,1732,1467
4011,1775,1578
4028,1694,1525
4029,1740,1409
4035,1734,1474
4040,1735,1476
4045,1730,1449
4046,1756,1483
4050,1798,1440
4053,1751,1446
4054,1740,1233
4055,1745,1430
4058,1733,1518
4059,1780,1444
4060,1765,1435
4065,1725,1450
4065,1760,1529
4068,1756,1498
4070,1695,1495
4081,1761,1618
4087,1730,1562
4096,1765,1653
4110,1756,1559
4118,1791,1534
4120,1765,1600
4133,1810,1301
4138,1780,1552
4140,1760,1520
4154,1756,1637
4157,1764,1741
4165,1800,1565
4170,1710,1480
4175,1775,1610
4191,1794,1508
4191,1832,1353
4195,1800,1605
4202,1798,1600
4207,1805,1537
4210,1800,1595
4212,1765,1605
4227,1797,1566
4234,1819,1573
4236,1805,1697
4240,1775,1285
4240,1775,1320
4241,1793,1531
4242,1784,1658
4250,1845,1315
4250,1845,1315
4253,1804,1457
4253,1800,1441
4261,1809,1552
4262,1732,1467
4264,1796,1595
4270,1819,1520
4275,1781,1658
4275,1765,1535
4276,1800,1679
4282,1829,1839
4284,1789,1456
4299,1822,1557
4300,1785,1585
4300,1770,1550
4300,1785,1585
4300,1770,1550
4310,1800,1447
4319,1799,1434
4321,1829,1809
4322,1785,1404
4323,1996,1974
4324,1864,13004
4334,1894,1841
4335,1795,1451
4335,1772,1605
4340,1795,1455
4341,1804,1693
4343,1816,1430
4347,1733,1517
4350,1792,1490
4350,1792,1490
4351,1798,1465
4351,1807,1578
4354,1800,1555
4355,1765,1455
4355,1805,1545
4359,1814,1447
4360,1795,1550
4360,1824,1526
4362,1793,1471
4363,1751,1852
4363,1841,1615
4365,1770,1640
4368,1800,1456
4370,1790,1435
4370,1809,1485
4371,1904,1649
4375,1784,1667
4378,1825,1454
4379,1828,1610
4379,1801,1281
4379,1801,1295
4382,1841,1603
4388,1767,1852
4394,1806,1590
4395,1820,1640
4395,1826,1490
4395,1795,1540
4397,1825,1502
4403,1848,1841
4403,1848,1874
4403,1848,1874
4405,1805,1685
4406,1866,1653
4406,1832,1895
4408,1793,1822
4410,1834,1616
4411,1900,1649
4419,1796,1440
4423,1793,1409
4425,1805,1495
4425,1815,1515
4425,1851,1652
4425,1835,1819
4426,1940,1240
4426,1796,1541
4427,1748,1466
4432,1774,1418
4438,1826,1625
4440,1798,1635
4447,1841,1624
4447,1821,1612
4450,1870,1629
4450,1870,1629
4454,1774,1403
4455,1795,1425
4458,1796,1416
4460,1775,1480
4460,1795,1435
4461,1854,1410
4465,1942,1273
4465,1800,1615
4470,1820,1450
4470,1923,1311
4470,1923,1307
4477,1856,1609
4480,1790,1540
4480,1850,1650
4484,1856,1585
4485,1855,1635
4486,1839,1657
4487,1939,1204
4489,1836,1613
4492,1872,1239
4492,1733,1550
4495,1840,1540
4498,1751,1680
4500,1840,1689
4500,1843,1556
4500,1840,1689
4500,1843,1556
4501,1761,1590
4518,1799,1434
4519,1828,1642
4519,1852,1300
4520,1933,1165
4521,1767,1680
4525,1805,1610
4526,1800,1420
4527,1829,1659
4535,1900,1303
4540,1792,1490
4540,1760,1470
4544,1939,1287
4549,1796,1446
4550,1840,1675
4550,1840,1675
4560,1755,1858
4565,1885,1830
4567,1799,1481
4568,1952,1211
4568,1800,1612
4570,1792,1500
4573,1906,1625
4578,1799,1515
4585,1804,1471
4585,1795,1465
4586,1938,1318
4597,1920,1727
4600,1855,1689
4600,1800,1465
4600,1855,1685
4600,1855,1689
4600,1800,1465
4600,1855,1685
4602,1826,1638
4605,1975,1206
4605,1800,1442
4606,1920,1905
4606,1920,1905
4606,1920,1905
4609,1920,1905
4611,1979,1206
4611,1979,1206
4614,1883,1661
4623,1859,1669
4625,1815,1730
4626,1814,1441
4630,1780,1435
4631,1877,1315
4634,1866,1655
4634,1834,1658
4638,1825,1377
4638,1825,1384
4638,1825,1389
4640,1845,1645
4641,1844,1646
4642,1800,1451
4643,1860,1436
4645,1775,1575
4645,1760,1470
4648,1799,1416
4653,1790,1445
4655,1890,1644
4656,1974,1301
4657,1971,1276
4660,1795,1440
4663,1893,1659
4666,1928,1660
4668,1825,1481
4670,1860,1640
4671,1870,1383
4673,1843,1678
4678,1850,1416
4680,1810,1430
4682,1895,1565
4686,1810,1442
4686,1810,1405
4687,1903,1671
4688,1902,1658
4688,1830,1439
4688,1830,1442
4689,1829,1470
4689,1829,1480
4690,1820,1710
4690,1780,1490
4694,1850,1443
4695,1810,1710
4696,1923,1624
4697,1882,1676
4697,1846,1371
4700,1840,1395
4700,1840,1395
4701,1839,1674
4702,1810,1457
4702,1809,1510
4705,1829,1839
4708,1891,1676
4709,1827,1435
4709,1827,1440
4710,1895,1370
4710,1972,1186
4712,1969,1280
4712,1881,1597
4731,1890,1600
4735,1839,1658
4739,1940,1279
4746,1936,1652
